N,P,T
100,25,0.062700011767447
200,46,0.17380004283040762
300,62,0.3109999233856797
400,78,0.49480004236102104
500,95,0.7573000621050596
600,109,1.3849000679329038
700,125,1.8071000231429935
800,139,1.7324999207630754
900,154,2.6228000642731786
1000,168,3.2159999245777726
1100,184,3.231600043363869
1200,196,3.9635999128222466
1300,211,4.464199999347329
1400,222,5.377399967983365
1500,239,5.8994999853894114
1600,251,6.486300029791892
1700,266,7.541300030425191
1800,278,8.16929992288351
1900,290,9.131800034083426
2000,303,9.857399971224368
2100,317,11.11359999049455
2200,327,11.981600080616772
2300,342,14.190600020810962
2400,357,14.685099944472313
2500,367,15.48290008213371
2600,378,16.935200081206858
2700,393,18.475100048817694
2800,407,19.58520000334829
2900,419,20.710099954158068
3000,430,22.06710004247725
3100,442,23.154099937528372
3200,452,25.92829999048263
3300,463,28.982199961319566
3400,478,27.687599998898804
3500,489,30.681899981573224
3600,503,30.785599956288934
3700,516,32.357700052671134
3800,528,34.114999929443
3900,539,36.273299949243665
4000,550,37.36449999269098
4100,565,40.33330001402646
4200,574,43.54549990966916
4300,590,46.88959999475628
4400,599,46.65979999117553
4500,610,51.73190007917583
4600,622,54.630099912174046
4700,634,50.71280000265688
4800,646,55.93479995150119
4900,654,56.013999972492456
5000,669,58.14560002181679
5100,681,59.51180006377399
5200,692,64.45579999126494
5300,702,64.9639000184834
5400,712,68.87219997588545
5500,725,77.24329992197454
5600,738,78.45350005663931
5700,750,82.85080001223832
5800,760,81.08929998707026
5900,776,90.74469993356615
6000,783,94.42079998552799
6100,795,87.39690005313605
6200,806,93.3887999271974
6300,819,96.48910001851618
6400,834,94.62129999883473
6500,842,98.31650007981807
6600,853,108.30309998709708
6700,863,110.19559996202588
6800,875,104.18000002391636
6900,887,113.04230010136962
7000,900,113.66630007978529
7100,909,248.66010004188865
7200,919,153.75950001180172
7300,930,218.8032999401912
7400,939,219.288699910976
7500,950,339.5780000137165
7600,965,272.5194999948144
7700,977,208.3505999762565
7800,987,206.20100002270192
7900,997,316.2500000325963
8000,1007,277.39330008625984
8100,1018,222.94150001835078
8200,1028,285.5836999369785
8300,1042,320.6027999985963
8400,1051,235.91769998893142
8500,1059,227.6166999945417
8600,1071,276.60769992507994
8700,1084,316.0345999058336
8800,1095,314.52559994067997
8900,1108,310.05810003262013
9000,1117,350.5345000885427
9100,1128,251.64279993623495
9200,1140,285.06579995155334
9300,1151,285.3663000278175
9400,1162,328.3957000821829
9500,1177,320.0832000002265
9600,1184,306.88809999264777
9700,1197,405.2909000311047
9800,1208,358.715399983339
9900,1220,327.4757000617683
